"UNIT_NAME","UNIT_ORDER","FIELD","UNIT_ACRES","OPERATOR_NAME","FORMATION","LUW_CODE","DISSOLVED_","TERMINATED"
"HA RA SU 79","361-L-51","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RA SUOO","191-H-27","Caspiana","640.0","JW Operating Company","Haynesville",,,
"HA RA SUSS","88-J-10","Holly","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUP","109-X-39","Red River_Bull Bayou","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUD","196-D-1","Bellevue","640.0","Diamond Oil, L.L.C.","Haynesville",,,
"HA RD SUS","109-X-26","Red River_Bull Bayou","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUC","1145-B-2","Thorn Lake","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUU","122-Y-5","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,"Y",
"HA RA SUA","289-R","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU68","191-H-22","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","1243-C","King Hill","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUGG","122-Y-6","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUI","376-D-1","Kingston","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUY","855-E-15","North Grand Cane","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","967-C-4","Cedar Grove","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUR","498-B-4","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SULL","109-X-40","Red River_Bull Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUP","88-J-5","Holly","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUI","289-R-3","Bethany_Longstreet","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RD SUF","109-X","Red River_Bull Bayou","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUB","999-D","Jamestown","640.0","JW Operating Company","Haynesville",,,
"HA RA SUPP","994-D-24","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SUCC","109-X-18","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU56","289-R-37","Bethany_Longstreet","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUZ","361-L-10","Elm Grove","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUY","1199-E-5","Trenton","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUII","496-L-8","Benson","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RB SUU","109-X-20","Red River_Bull Bayou","672.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUSS","994-D-24","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUV","917-L-5","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUB","628-B","Zwolle","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUN","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,,
"HA RA SU127","191-H-65","Caspiana","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUF","148-M-3","Sibley","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUE","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU65","191-H-30","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUXX","289-R-29","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUB","956-C","Haughton","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUJ","92-N-3","Spider","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU59","270-MM-31","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUE","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,"Y",
"HA RA SUR","917-L-5","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RB SU53","109-X-56","Red River_Bull Bayou","607.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUAA","917-L-6","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUN","990-D-2","Woodardville","640.0","Forest Oil Corporation","Haynesville",,,
"HA RA SUJJ","361-L-19","Elm Grove","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RB SUA","191-H-6","Caspiana","640.0","Matador Production Company","Haynesville",,,
"HA RD SUY","109-X-64","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RC SUA","109-X-1","Red River_Bull Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SU75","361-L-44","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUB","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUG","376-D","Kingston","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUQ","1513-B","Bayou San Miguel","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUU","496-L-5","Benson","990.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RB SUH","289-R-33","Bethany_Longstreet","640.0","Nelson Energy, Inc.","Haynesville",,,
"HA RA SUO","498-B-1","Pleasant Hill","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUHH","994-D-16","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUB","28-AA-1","Logansport","640.0","Indigo Minerals, L.L.C.","Haynesville",,,
"HA RC SUE","109-X-1","Red River_Bull Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUF","917-L-1","Bracky Branch","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUF","496-L-3","Benson","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUF","855-E-1","North Grand Cane","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU101","191-H-41","Caspiana","640.0","Palmer Petroleum, Inc.","Haynesville",,,
"HA RA SUF","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUK","1490-C-1","Alabama Bend","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SU95","361-L-66","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SULL","8-N-9","Sligo","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUD","1513-B","Bayou San Miguel","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUCC","498-B-5","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUT","376-D-8","Kingston","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUS","376-D-7","Kingston","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUBB","496-L-4","Benson","640.0","XTO Energy","Haynesville",,,
"HA RA SUQ","376-D-6","Kingston","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUP","501-G","Converse","1744.0","Eagle Oil and Gas Company","Haynesville",,,
"HA RA SUJJ","498-B-5","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUD","191-H-3","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUO","1137-G","Martin","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUP","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUF","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUK","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUJ","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUI","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUL","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUM","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUN","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUO","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUD","1186-C","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUC","1186-C","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUB","1186-C","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUA","1186-C","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUE","1186-C","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUM","1407-C-1","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU55","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SU56","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUZZ","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SU53","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SU54","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUYY","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUXX","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUWW","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUVV","28-AA-20","Logansport","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUBB","855-E-16","North Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUAA","855-E-16","North Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUJ","342-K-5","Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUNN","122-Y-6","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUR","270-MM-5","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUF","1525-A-3","Mansfield","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUC","1137-G","Martin","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU131","191-H-66","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUC","1165-K","San Miguel Creek","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUD","289-R-3","Bethany_Longstreet","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RA SUP","855-E-9","North Grand Cane","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUE","1490-C","Alabama Bend","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SU58","990-D-8","Woodardville","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU78","191-H-34","Caspiana","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUJJ","994-D-16","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUL","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,,
"HA RA SU82","289-R-52","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUT","855-E-13","North Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SU60","191-H-35","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUJ","1137-G","Martin","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUXX","270-MM-28","Greenwood_Waskom","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RA SU83","191-H-55","Caspiana","640.0","KCS Resources, L.L.C.","Haynesville",,,
"HA RA SU90","191-H-40","Caspiana","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUD","813-B-5","Metcalf","640.0","JW Operating Company","Haynesville",,,
"HA RA SUN","1137-G","Martin","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SULL","501-G-5","Converse","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SUD","917-L","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUMM","361-L-22","Elm Grove","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUDD","287-F-13","Lake Bistineau","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUDD","289-R-34","Bethany_Longstreet","640.0","Coronado Energy E&P Company, L.L.C.","Haynesville",,,
"HA RA SU70","990-D-22","Woodardville","640.0","JW Operating Company","Haynesville",,,
"HA RA SUL","1145-B-6","Thorn Lake","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUC","540-C","Brushy Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUAA","990-D-4","Woodardville","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUH","1145-B-7","Thorn Lake","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUHH","287-F-14","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SURR","191-H-27","Caspiana","640.0","JW Operating Company","Haynesville",,,
"HA RA SUM","1137-G","Martin","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RB SUM","289-R-9","Bethany_Longstreet","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUA","917-L","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUM","289-R-3","Bethany_Longstreet","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RA SUS","361-L-8","Elm Grove","630.0","JW Operating Company","Haynesville",,,
"HA RA SUS","498-B-5","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","496-L-3","Benson","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","498-B-1","Pleasant Hill","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUA","496-L","Benson","640.0","KCS Resources, Inc.","Haynesville",,,
"HA RA SUQQ","28-AA-18","Logansport","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RA SUAA","496-L-5","Benson","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RA SUC","1490-C","Alabama Bend","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SUX","498-B-5","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SUFF","289-R-28","Bethany_Longstreet","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUC","909-H","Gahagan","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUF","196-D-2","Bellevue","640.0","Endeavor Energy Resources, L.P.","Haynesville",,,
"HA RB SUS","289-R-9","Bethany_Longstreet","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUE","270-MM-2","Greenwood_Waskom","948.0","Encore Operating Louisiana, L.L.C.","Haynesville",,,
"HA RA SUL","287-F-3","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUF","540-C-1","Brushy Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RB SU55","289-R-37","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUH","813-B-8","Metcalf","640.0","St. Mary Land & Exploration Company","Haynesville",,,
"HA RA SU61","361-L-35","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RA SUJ","691-C-1","Swan Lake","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUB","1490-C","Alabama Bend","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SUGG","88-J-9","Holly","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU70","361-L-41","Elm Grove","626.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUG","855-E-3","North Grand Cane","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUM","361-L-2","Elm Grove","575.0","JW Operating Company","Haynesville",,,
"HA RA SUN","88-J-5","Holly","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUG","312-G-1","Belle Bower","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RA SUKK","8-N-9","Sligo","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUBB","270-MM-13","Greenwood_Waskom","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUA","312-G","Belle Bower","640.0","Indigo Minerals, L.L.C.","Haynesville",,,
"HA RA SU125","191-H-65","Caspiana","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUS","109-X-37","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUC","1243-C","King Hill","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUQ","361-L-2","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RA SUBB","287-F-8","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU78","289-R-49","Bethany_Longstreet","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUG","813-B-8","Metcalf","640.0","St. Mary Land & Exploration Company","Haynesville",,,
"HA RA SU77","289-R-43","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","990-D-2","Woodardville","640.0","Forest Oil Corporation","Haynesville",,,
"HA RA SUJ","1513-B","Bayou San Miguel","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUL","1243-C-1","King Hill","640.0","Anadarko Petroleum Corporation","Haynesville",,,
"HA RA SUX","1137-G-2","Martin","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUH","948-C-3","Redoak Lake","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUM","948-C-3","Redoak Lake","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUB","13-L-1","Shreveport","510.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUC","13-L-1","Shreveport","460.0","Encana Oil and Gas USA Inc.","Haynesville",,"Y",
"HA RA SUL","342-K-5","Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUM","342-K-5","Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUK","342-K-5","Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUN","342-K-5","Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SU55","88-J-16","Holly","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RB SU69","109-X-71","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SU71","109-X-74","Red River_Bull Bayou","640.0","JW Operating Company","Haynesville",,,
"HA RB SU72","109-X-74","Red River_Bull Bayou","640.0","JW Operating Company","Haynesville",,,
"HA RA SU73","109-X-74","Red River_Bull Bayou","640.0","JW Operating Company","Haynesville",,,
"HA RA SURR","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUQQ","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUSS","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUWW","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUKK","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUPP","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUTT","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUUU","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUJJ","109-X-75","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUR","948-C-4","Redoak Lake","650.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUS","948-C-4","Redoak Lake","645.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUT","948-C-4","Redoak Lake","625.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUU","948-C-4","Redoak Lake","600.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU60","8-N-15","Sligo","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU59","8-N-14","Sligo","640.0","Petrohawk Operating Company","Haynesville",,"Y",
"HA RA SU57","8-N-13","Sligo","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU58","8-N-13","Sligo","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUXX","361-L-71","Elm Grove","655.0","JW Operating Company","Haynesville",,"Y",
"HA RA SUYY","361-L-71","Elm Grove","670.0","JW Operating Company","Haynesville",,,
"HA RA SU100","361-L-68","Elm Grove","640.0","WSF, Inc.","Haynesville",,,
"HA RA SU105","361-L-67","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUN","956-C-2","Haughton","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUNN","270-MM-37","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SURR","270-MM-38","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU63","270-MM-34","Greenwood_Waskom","889.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU78","990-D-28","Woodardville","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SU76","990-D-28","Woodardville","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SU77","990-D-28","Woodardville","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SU87","289-R-57","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUR","813-B-14","Metcalf","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU139","191-H-71","Caspiana","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU141","191-H-73","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SU142","191-H-73","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SU143","191-H-73","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SU144","191-H-73","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUB","708-F-1","Canadian Bayou","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUOO","496-L-9","Benson","640.0","KCS Resources, L.L.C.","Haynesville",,,
"HA RA SUQ","1186-C-1","Carroll Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUD","496-L-1","Benson","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUH","855-E-6","North Grand Cane","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RD SUZ","109-X-64","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUW","361-L-25","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RA SUDD","88-J-9","Holly","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU104","191-H-51","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SU61","191-H-35","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUKK","270-MM-25","Greenwood_Waskom","640.0","Petrohawk Operating Company","Haynesville",,"Y",
"HA RA SUT","501-G-1","Converse","640.0","Ellora Energy","Haynesville",,,
"HA RA SUJ","8-N-2","Sligo","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RB SU54","109-X-57","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU76","289-R-48","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUC","917-L","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SULL","990-D-5","Woodardville","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SUZZ","191-H-23","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUZ","501-G-2","Converse","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SU59","109-X-63","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUO","1243-C-1","King Hill","640.0","Anadarko Petroleum Corporation","Haynesville",,,
"HA RA SUJ","813-B-12","Metcalf","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU89","361-L-52","Elm Grove","640.0","WSF, Inc.","Haynesville",,"Y",
"HA RA SU95","191-H-41","Caspiana","640.0","Palmer Petroleum, Inc.","Haynesville",,,
"HA RA SU66","361-L-47","Elm Grove","640.0","WSF, Inc.","Haynesville",,,
"HA RA SU87","361-L-56","Elm Grove","571.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUQ","501-G-1","Converse","640.0","Ellora Energy","Haynesville",,,
"HA RA SUG","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,,
"HA RA SUA","909-H","Gahagan","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUZ","289-R-6","Bethany_Longstreet","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RA SUMM","994-D-17","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUL","312-G-2","Belle Bower","480.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SUF","1505-C","Dixie","640.0","Nadel & Gussman-Jetta Operating Company","Haynesville",,,
"HA RA SUF","287-F-9","Lake Bistineau","640.0","XTO Energy","Haynesville",,,
"HA RA SUK","1145-B-6","Thorn Lake","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUQ","287-F-6","Lake Bistineau","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUD","1158-C","Alpha","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUV","122-Y-5","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUS","122-Y-5","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUU","501-G-1","Converse","640.0","Ellora Energy","Haynesville",,,
"HA RA SUO","361-L-2","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RB SUBB","289-R-19","Bethany_Longstreet","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SU83","361-L-63","Elm Grove","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUK","967-C-3","Cedar Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUI","956-C","Haughton","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUC","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
