"UNIT_NAME","UNIT_ORDER","FIELD","UNIT_ACRES","OPERATOR_NAME","FORMATION","LUW_CODE","DISSOLVED_","TERMINATED"
"HA RA SUJJ","122-Y-6","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RB SUM","191-H-26","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUJ","1199-E-1","Trenton","640.0","SWEPI, L.P.","Haynesville",,,
"HA RB SUC","289-R-4","Bethany_Longstreet","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SUG","1522-A-2","Red Chute Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUT","287-F-9","Lake Bistineau","640.0","XTO Energy","Haynesville",,,
"HA RA SUSS","361-L-24","Elm Grove","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUBB","917-L-7","Bracky Branch","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUC","270-MM-3","Greenwood_Waskom","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU86","191-H-36","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SULL","498-B-5","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU137","191-H-68","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUX","270-MM-13","Greenwood_Waskom","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUOO","88-J-10","Holly","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUT","270-MM-10","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUN","1243-C-1","King Hill","640.0","Anadarko Petroleum Corporation","Haynesville",,,
"HA RA SUK","270-MM-8","Greenwood_Waskom","640.0","Encore Operating Louisiana, L.L.C.","Haynesville",,,
"HA RA SUG","1505-C","Dixie","640.0","Nadel & Gussman-Jetta Operating Company","Haynesville",,,
"HA RA SUV","691-C-7","Swan Lake","540.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SUFF","191-H-48","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUL","191-H-7","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUHH","498-B-5","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUBB","88-J-9","Holly","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SU67","109-X-66","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUR","496-L-7","Benson","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RC SUR","109-X-44","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","501-G","Converse","1695.0","Eagle Oil and Gas Company","Haynesville",,,
"HA RA SUF","994-D-1","Johnson Branch","640.0","Fossil Operating, Inc.","Haynesville",,,
"HA RA SUII","361-L-19","Elm Grove","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUJ","1243-C-1","King Hill","640.0","Anadarko Petroleum Corporation","Haynesville",,,
"HA RA SU75","289-R-48","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUD","572-B-1","Ten Mile Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUF","909-H","Gahagan","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUR","287-F-4","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUH","123-K-1","Longwood","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RB SU58","289-R-42","Bethany_Longstreet","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUK","361-L-5","Elm Grove","640.0","KCS Resources, Inc.","Haynesville",,,
"HA RA SU75","191-H-34","Caspiana","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUH","955-J-1","Grogan","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUT","917-L-5","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUW","691-C-7","Swan Lake","692.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUPP","990-D-5","Woodardville","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SUP","361-L-2","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RA SUN","691-C-6","Swan Lake","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUSS","270-MM-28","Greenwood_Waskom","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RA SUA","270-MM","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUI","342-K-3","Grand Cane","640.0","Chesapeake Operating Inc.","Haynesville",,,
