strategy,market_id,entry_time,exit_time,entry_price,exit_price,position_size,gross_pnl,slippage_cost,fee_cost,net_pnl,roi,hold_time_hours
Trend Filter,market_32,2024-10-02 12:00:00,2024-10-05 05:02:55.862983220,0.26058882322102916,0.019828677787564516,451.60408647541493,-451.60408647541493,6.517033459793932,18.064163459016598,-476.18528339422545,-1.0544308558203197,65.04885082861111
NO-Side Bias,market_32,2024-10-03 09:00:00,2024-10-05 05:02:55.862983220,0.034950628555067934,0.01989586094368339,147.230726819526,-147.230726819526,1.634525346898196,5.889229072781041,-154.75448123920526,-1.051101795000318,44.04885082861111
Expert Fade,market_32,2024-10-03 09:00:00,2024-10-05 05:02:55.862983220,0.03502552838036827,0.019883368551930704,253.51341545837357,-253.51341545837357,3.5192897923082036,10.140536618334943,-267.1732418690167,-1.0538820653177072,44.04885082861111
Whale Copy,market_32,2024-10-03 21:00:00,2024-10-05 05:02:55.862983220,0.10100851403044772,0.01976785227590426,407.8564591713998,-407.8564591713998,6.392772289256761,16.31425836685599,-430.56348982751257,-1.0556740739186632,32.04885082861111
News Mean Reversion,market_32,2024-10-04 15:00:00,2024-10-05 05:02:55.862983220,0.23977357598836477,0.019784209985550513,386.97284851108157,-386.97284851108157,11.816042926874943,15.478913940443263,-414.26780537839977,-1.0705345529339807,14.04885082861111
Whale Copy,market_374,2024-10-01 06:00:00,2024-10-08 04:54:31.199700536,0.28333552651724936,0.9584720598727652,500.0,358.3322367413753,12.993214638782712,20.0,325.3390221025926,0.6506780442051852,166.90866658333334
Trend Filter,market_374,2024-10-01 18:00:00,2024-10-08 04:54:31.199700536,0.3221494679082534,0.9574475474730604,445.1863274475115,301.7697889402662,12.063587141172537,17.80745309790046,271.8987487011932,0.6107526937319312,154.90866658333334
News Mean Reversion,market_470,2024-10-06 03:00:00,2024-10-08 19:06:45.733932171,0.1707419287452195,0.019549808790761392,366.85519328210205,-366.85519328210205,10.200072715703346,14.674207731284083,-391.7294737290895,-1.0678040842885377,64.11270387
Whale Copy,market_470,2024-10-06 15:00:00,2024-10-08 19:06:45.733932171,0.2079647666195953,0.019760954054018575,348.0484622466275,-348.0484622466275,5.897540850103642,13.921938489865099,-367.8679415865962,-1.0569445967726316,52.112703870000004
Expert Fade,market_470,2024-10-07 00:00:00,2024-10-08 19:06:45.733932171,0.12633337154526175,0.019890240587091573,70.53187081781427,-70.53187081781427,0.4545479031120437,2.8212748327125707,-73.80769355363888,-1.046444574599278,43.112703870000004
