ticker,title,category,category_type,yes_ask,yes_bid,no_ask,no_bid,ev_yes,ev_no,volume,days_to_resolution,daily_change,weekly_change
KXNEXTIRANLEADER-45JAN01-SLAR,Will Sadeq Amoli Larijani be the next Supreme Leader of Iran?,Politics,top_yes,4,0,96,100,2352.0,4.083333333333333,1.1,6896,0,-20
KXNEXTIRANLEADER-45JAN01-MARA,Will Mohsen Araki be the next Supreme Leader of Iran?,Politics,top_yes,4,1,96,99,2352.0,4.083333333333333,3.1,6896,0,0
KXG7LEADEROUT-45JAN01-GMEL,Will Prime Minister of Italy be the first to leave office?,Politics,top_yes,4,1,96,99,2352.0,4.083333333333333,32.32,6896,0,300
KXPERFORMBONDSONG-35-BEY,Who will perform the next James Bond Song?,Entertainment,top_yes,4,0,96,100,2352.0,4.083333333333333,1.02,3243,0,0
KXNEWPOPE-35-MZUP,Who will the next Pope be?,World,top_yes,4,1,96,99,2352.0,4.083333333333333,23.82,3243,0,300
KXNEWPOPE-35-RLEO,Who will the next Pope be?,World,top_yes,4,1,96,99,2352.0,4.083333333333333,12.4,3243,0,300
KXPRIMEENGCONSUMPTION-30-HYDROPOWER,What will be the largest source of global primary energy consumption in 2030?,Climate and Weather,top_yes,4,1,96,99,2352.0,4.083333333333333,55.72,2511,0,25
KXTRILLIONAIRE-30-JB,Will Jeff Bezos be the world's first trillionaire?,Economics,top_yes,4,3,96,97,2352.0,4.083333333333333,191.26,1417,0,0
KXNEXTUKPM-30-DLAM,Will David Lammy be the next Prime Minister of United Kingdom?,Politics,top_yes,4,0,96,100,2352.0,4.083333333333333,26.92,1417,0,400
KXNEWPOPE-70-FAMB,Who will the next Pope be?,World,top_yes,5,3,95,97,1862.0,5.157894736842105,58.94,16027,0,20
KXXISUCCESSOR-45JAN01-LGAN,"Will Li Ganjie become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,5,0,95,100,1862.0,5.157894736842105,0.98,6895,0,400
KXXISUCCESSOR-45JAN01-MXIN,"Will Ma Xingrui become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,5,0,95,100,1862.0,5.157894736842105,0.46,6895,0,400
KXXISUCCESSOR-45JAN01-CMIN,"Will Chen Min'er become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,5,0,95,100,1862.0,5.157894736842105,0.46,6895,0,400
KXXISUCCESSOR-45JAN01-YYON,"Will Yin Yong become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,5,0,95,100,1862.0,5.157894736842105,1.06,6895,0,400
KXNEXTISRAELPM-45JAN01-IKAT,Will Israel Katz be the next Prime Minister of Israel?,Politics,top_yes,5,2,95,98,1862.0,5.157894736842105,5.14,6896,0,400
KXNEXTISRAELPM-45JAN01-ALIE,Will Avigdor Lieberman be the next Prime Minister of Israel?,Politics,top_yes,5,2,95,98,1862.0,5.157894736842105,3.54,6896,0,400
KXNEXTISRAELPM-45JAN01-BSMO,Will Bezalel Smotrich be the next Prime Minister of Israel?,Politics,top_yes,5,2,95,98,1862.0,5.157894736842105,4.38,6896,0,66.67
KXG7LEADEROUT-45JAN01-FMER,Will Chancellor of Germany be the first to leave office?,Politics,top_yes,5,0,95,100,1862.0,5.157894736842105,41.160000000000004,6896,400,400
